               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11651,            0.025352,                   0,          2.8736e-05,           0.0041841,          1.4444e-05,          2.8888e-06,             0.10907,            0.017768,                   0,              0.0712,              0.0032,              0.0032
                   1,              0.1136,            0.024645,                   0,                   0,                   0,                   0,                   0,             0.10586,            0.018257,                   0,            0.041436,           0.0064357,           0.0064357
                   2,             0.10864,            0.024117,                   0,          0.00010667,            0.016736,          5.4273e-05,           1.488e-05,             0.10442,            0.018583,                   0,            0.011606,            0.009606,            0.009606
                   3,             0.10482,            0.023767,                   0,                   0,                   0,                   0,                   0,             0.16342,           0.0043064,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.09917,            0.021868,                   0,                   0,                   0,                   0,                   0,             0.15231,           0.0026697,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.10181,            0.021085,                   0,          4.6202e-05,           0.0083682,          2.3446e-05,          4.6892e-06,                 nan,                 nan,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.10149,            0.020181,                   0,          0.00011338,            0.020921,          6.2641e-05,          9.4548e-06,             0.13089,           0.0093423,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.10272,            0.020096,                   0,          0.00022676,            0.041841,          0.00011943,           2.713e-05,            0.098629,            0.012353,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.097323,            0.018583,                   0,          0.00013605,            0.025105,          7.2952e-05,          1.3326e-05,            0.097686,            0.011875,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.097204,            0.018634,                   0,          0.00011338,            0.020921,          6.8381e-05,            2.11e-05,            0.097306,            0.011989,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.10037,            0.018457,                   0,          0.00013605,            0.025105,          6.9966e-05,          2.4357e-05,            0.098851,            0.012047,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.096656,            0.019186,                   0,          0.00018141,            0.033473,          9.3907e-05,          3.3717e-05,            0.096348,            0.012612,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.095048,            0.018948,                   0,          0.00070295,             0.12971,          0.00041123,          0.00011875,            0.094021,            0.013162,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.094769,            0.019774,                   0,           0.0011791,             0.21757,          0.00092918,          0.00026442,            0.091028,            0.013841,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.091075,            0.020856,                   0,           0.0019501,             0.35983,            0.003271,          0.00079891,            0.089324,            0.014356,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.08845,            0.020732,                   0,          0.00022676,            0.041841,          0.00011833,          3.2747e-05,            0.098169,            0.013148,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.086009,            0.020847,                   0,           0.0027891,             0.51464,            0.007152,           0.0017734,            0.084921,            0.014698,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.080445,            0.019887,                   0,           0.0035374,             0.65272,            0.011826,           0.0036892,            0.078288,            0.015532,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.077522,            0.020152,                   0,           0.0036908,             0.59833,            0.013114,           0.0031484,            0.087973,            0.015296,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.074013,            0.020503,                   0,            0.023858,             0.43515,             0.02282,           0.0071511,              0.0715,            0.015338,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.07482,            0.020847,                   0,            0.073022,             0.11297,            0.030207,            0.010137,            0.075606,            0.019269,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.071587,            0.020102,                   0,              0.1971,               0.159,            0.094318,            0.029385,            0.066168,            0.014407,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.070343,            0.018805,                   0,             0.23218,             0.17573,             0.12469,            0.041835,            0.067905,            0.014808,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.068671,            0.019046,                   0,             0.38345,             0.24686,             0.19283,            0.060677,            0.064182,            0.014565,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.065054,            0.018145,                   0,             0.39652,             0.25018,             0.23001,            0.087655,            0.061024,            0.014124,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.064692,            0.018542,                   0,             0.35871,             0.31799,             0.25525,              0.1012,            0.060878,            0.014178,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.06131,            0.018044,                   0,             0.53388,             0.28276,             0.32089,             0.12574,             0.05849,            0.013116,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.063294,            0.017676,                   0,             0.52614,             0.30544,             0.31335,             0.13311,            0.056571,            0.013614,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.060792,             0.01732,                   0,             0.52286,             0.32218,             0.32357,             0.11724,            0.054402,            0.012816,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.061484,            0.016661,                   0,             0.56801,             0.37238,              0.3627,             0.16131,            0.058097,            0.012822,                   0,            0.007228,            0.007228,            0.007228
                  30,              0.0616,              0.0168,                   0,             0.42273,             0.40167,             0.36311,             0.15238,            0.053769,            0.013074,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.05755,            0.016163,                   0,             0.60587,             0.38075,             0.42119,             0.19784,            0.052278,            0.012655,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.059732,            0.016261,                   0,             0.57608,             0.38095,             0.37023,             0.14353,            0.055046,            0.011981,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.057947,            0.016427,                   0,             0.52123,             0.38912,             0.37767,             0.18089,            0.053084,            0.011987,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.054338,            0.015759,                   0,             0.54242,             0.38075,              0.3791,             0.19334,            0.049886,            0.012356,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.052876,            0.015558,                   0,             0.73452,             0.41004,             0.48527,             0.25308,             0.04534,            0.011574,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.054167,            0.015835,                   0,              0.5558,             0.48689,              0.5014,             0.23436,            0.046223,            0.011121,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.05055,            0.015713,                   0,             0.73007,             0.50209,             0.55102,             0.30714,            0.042441,            0.010682,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.051047,            0.015046,                   0,             0.71506,             0.51464,             0.57169,             0.30243,            0.041988,            0.010618,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.049595,             0.01456,                   0,             0.65688,             0.42678,             0.47879,             0.21757,            0.048351,             0.01178,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.048036,            0.014886,                   0,             0.78004,             0.48965,             0.56317,             0.31598,            0.042331,            0.010382,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.046016,             0.01477,                   0,             0.77641,             0.51883,             0.60694,             0.35113,            0.040202,             0.01021,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.047081,            0.014738,                   0,             0.70747,             0.52619,             0.56782,             0.30137,            0.040533,             0.01062,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.045744,            0.014671,                   0,             0.75131,             0.56485,             0.64797,             0.38266,             0.03623,            0.010335,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.046799,            0.014292,                   0,             0.63173,             0.41423,             0.44014,             0.25745,            0.047492,            0.011562,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.047091,            0.013652,                   0,             0.80866,              0.5482,             0.64269,              0.3837,            0.038977,           0.0097637,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.044089,            0.013362,                   0,             0.72622,             0.54812,             0.60053,             0.30622,            0.038087,           0.0098935,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.043635,             0.01369,                   0,             0.75862,             0.59833,              0.6555,             0.39849,             0.03614,           0.0095473,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.042956,            0.013371,                   0,             0.72546,              0.6081,             0.64109,             0.38373,            0.037584,           0.0094545,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.045279,            0.013276,                   0,             0.74705,              0.6055,             0.66553,             0.42895,            0.034367,           0.0093238,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.044651,             0.01416,                   0,             0.74874,             0.58996,             0.66019,             0.42694,            0.035805,           0.0093193,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.043873,            0.013238,                   0,             0.84783,             0.56904,             0.68308,             0.43962,            0.037166,           0.0092541,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.042579,            0.012859,                   0,             0.81782,             0.61983,             0.70222,              0.4465,            0.033728,           0.0093379,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.040648,            0.013733,                   0,             0.81362,             0.60275,             0.69756,             0.44905,            0.032543,           0.0092708,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.03848,            0.012885,                   0,             0.82573,             0.61458,             0.69482,             0.44746,            0.033884,           0.0091106,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.041288,            0.012579,                   0,              0.8855,             0.59414,             0.72213,             0.46446,            0.033221,           0.0086265,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.039849,            0.012452,                   0,             0.89913,             0.61088,             0.72324,             0.45827,            0.033917,           0.0086647,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.039868,            0.012786,                   0,             0.91717,             0.60226,             0.73692,             0.48965,             0.03032,           0.0086771,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.037145,            0.011829,                   0,             0.85072,             0.61088,             0.72344,             0.49563,            0.031118,           0.0085893,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.037763,            0.012143,                   0,             0.86587,             0.62762,             0.73968,             0.49383,            0.030514,           0.0083196,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.038797,             0.01172,                   0,             0.86003,             0.63598,               0.713,             0.49385,            0.032348,           0.0083797,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.035364,            0.011971,                   0,             0.89385,             0.63598,             0.74402,             0.50985,            0.029643,           0.0083385,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.037517,            0.011984,                   0,             0.86035,              0.6318,             0.74643,             0.51619,            0.029171,           0.0080397,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.036165,            0.011331,                   0,             0.77517,             0.67364,              0.7539,             0.50308,            0.030805,           0.0079855,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.036294,            0.011271,                   0,              0.8877,             0.61506,             0.75768,             0.52253,            0.029411,           0.0079334,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.037223,            0.012105,                   0,              0.8832,             0.61088,             0.74728,             0.49333,               0.033,           0.0081331,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.036232,            0.011852,                   0,             0.87439,             0.64435,             0.76003,             0.51017,            0.029333,               0.008,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.033429,            0.011265,                   0,             0.86327,             0.63403,             0.74806,              0.5001,            0.029807,           0.0081214,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.036927,            0.011236,                   0,             0.89859,             0.61506,             0.75198,             0.51222,            0.029107,           0.0081607,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.033394,            0.011231,                   0,             0.93646,              0.6318,             0.76857,             0.54723,             0.02798,           0.0078089,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.033248,            0.011806,                   0,             0.87548,             0.66109,             0.77413,             0.55203,            0.026453,           0.0076039,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.033352,             0.01051,                   0,             0.90844,             0.66421,             0.78531,             0.56371,            0.026797,           0.0076131,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.033613,            0.011162,                   0,             0.80242,              0.6967,             0.77736,             0.54939,            0.027415,           0.0076348,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.032216,            0.011058,                   0,              0.8124,             0.70666,             0.77585,             0.54864,            0.029243,           0.0075464,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.03248,             0.01061,                   0,             0.87715,             0.69456,             0.78924,             0.55839,             0.02661,           0.0072861,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.03123,            0.010361,                   0,             0.78951,             0.72192,             0.78399,             0.55477,            0.026027,           0.0073433,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.03385,             0.01045,                   0,             0.84615,             0.68201,             0.76962,             0.54476,            0.026592,           0.0075629,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.032686,            0.010643,                   0,             0.89952,             0.67424,             0.79281,               0.564,            0.025611,           0.0075132,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.031414,            0.010574,                   0,             0.89945,             0.67367,             0.80711,             0.56294,            0.026251,           0.0072026,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.031538,           0.0097862,                   0,             0.80646,             0.73225,             0.79906,             0.54767,            0.026302,           0.0072162,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.030667,            0.010946,                   0,             0.88844,             0.68201,             0.79845,             0.56781,            0.026487,           0.0072528,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.032622,            0.010711,                   0,              0.8733,             0.69038,             0.80723,             0.56695,            0.025692,            0.007123,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.030796,            0.010146,                   0,             0.82587,             0.69874,             0.78961,             0.55448,            0.026167,           0.0072479,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.032055,             0.01069,                   0,             0.92178,             0.66109,              0.7989,             0.56141,            0.025018,           0.0071949,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.031422,            0.010317,                   0,             0.90532,             0.69874,             0.80934,             0.57725,            0.025005,           0.0070294,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.02935,            0.010696,                   0,              0.9071,             0.69038,             0.80937,             0.58042,            0.025209,           0.0069861,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.030311,            0.010278,                   0,             0.89318,             0.69974,             0.81167,             0.58046,            0.024805,           0.0070021,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.028421,            0.010209,                   0,             0.90834,             0.70487,             0.80993,             0.58343,             0.02464,           0.0067965,                   0,            0.001486,            0.001486,            0.001486
