               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038423,            0.013423,                   0,             0.82116,             0.59783,             0.64457,             0.44924,             0.03401,           0.0084482,                   0,            0.070303,           0.0032997,           0.0032997
                   1,            0.036589,            0.012469,                   0,             0.80317,             0.61646,             0.65911,             0.43941,            0.034942,            0.008522,                   0,            0.040237,           0.0065673,           0.0065673
                   2,            0.037258,            0.012033,                   0,             0.75501,             0.61491,             0.63054,             0.41711,            0.036658,           0.0090596,                   0,            0.010106,            0.009769,            0.009769
                   3,            0.037104,            0.012402,                   0,             0.82476,             0.60093,             0.63757,              0.4179,            0.037255,           0.0088114,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.036315,            0.012529,                   0,              0.8254,             0.60193,              0.6475,             0.43496,            0.034776,           0.0088749,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.036029,            0.012349,                   0,             0.89195,             0.60559,             0.66059,             0.45411,            0.034887,           0.0084964,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.034081,            0.012247,                   0,             0.85847,             0.58696,             0.66117,             0.45094,            0.033246,             0.00851,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.034598,            0.011949,                   0,             0.80469,              0.6087,             0.67116,             0.45512,             0.03325,           0.0081995,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.033424,            0.011801,                   0,             0.84958,             0.61335,             0.67854,             0.46419,            0.032417,           0.0080927,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.032603,            0.011253,                   0,             0.88098,             0.61491,             0.68229,             0.47256,             0.03162,           0.0081643,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.032511,            0.011281,                   0,             0.84017,             0.64752,             0.69233,             0.46584,            0.031865,           0.0080784,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.032322,            0.010997,                   0,             0.87009,              0.6118,             0.69338,             0.47728,            0.031672,           0.0077813,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032442,            0.011474,                   0,             0.85333,             0.64141,             0.69198,             0.48209,            0.031113,           0.0079416,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.032419,            0.011333,                   0,             0.83622,             0.62422,             0.68719,             0.46593,            0.031983,           0.0079433,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.031432,            0.011264,                   0,             0.83827,             0.63665,             0.69434,              0.4851,            0.031483,           0.0081518,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.031222,            0.011048,                   0,             0.86262,             0.65839,             0.70271,             0.49114,            0.030966,           0.0078648,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031339,            0.011237,                   0,             0.82644,             0.65807,              0.7051,             0.49369,             0.03083,           0.0080304,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.030396,             0.01109,                   0,             0.88285,             0.60248,             0.68078,             0.47438,            0.031472,           0.0079578,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.030213,            0.010937,                   0,             0.87144,             0.64206,             0.69974,             0.49018,            0.030496,           0.0076161,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029741,            0.011211,                   0,              0.8842,             0.62578,             0.69292,             0.49499,             0.03062,           0.0078736,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.030184,             0.01075,                   0,             0.82075,              0.6677,             0.69333,             0.48717,            0.031251,           0.0078466,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.030744,            0.010798,                   0,             0.84256,             0.63975,             0.69205,             0.47865,            0.031224,           0.0079203,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.03036,            0.010836,                   0,             0.80641,             0.65373,             0.68897,             0.47947,            0.031235,           0.0081876,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.029632,            0.010823,                   0,             0.87874,             0.64142,             0.70333,             0.48964,            0.030917,           0.0076779,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.028413,            0.010488,                   0,             0.84455,             0.64752,             0.70794,             0.50042,            0.029932,           0.0075787,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.029114,            0.010697,                   0,             0.83296,             0.65043,             0.69671,             0.48046,            0.030648,           0.0078714,                   0,            0.007624,            0.007624,            0.007624
